currency pair,volume(24th)
,▲
BTC/USD,1 366.10 BTC
ETH/BTC,215.65 BTC
LTC/BTC,117.70 BTC
XRP/BTC,86.69 BTC
BTC/USDT,81.56 BTC
DASH/BTC,67.07 BTC
XLM/BTC,37.63 BTC
BCH/BTC,34.41 BTC
XSN/BTC,33.22 BTC
BTC/RUR,21.42 BTC
BTC/EUR,17.10 BTC
ABBC/BTC,13.38 BTC
ROOBEE/BTC,12.62 BTC
EOS/BTC,9.86 BTC
MLGC/BTC,9.06 BTC
BTS/BTC,7.90 BTC
BAT/BTC,7.21 BTC
WAVES/BTC,5.77 BTC
ZEC/BTC,5.02 BTC
TOR/BTC,4.60 BTC
LSK/BTC,4.37 BTC
LEVL/BTC,3.41 BTC
ETC/BTC,3.24 BTC
CHSB/BTC,2.89 BTC
SCT/BTC,2.46 BTC
BTG/BTC,2.14 BTC
XEM/BTC,1.70 BTC
OTON/BTC,1.64 BTC
INCNT/BTC,1.61 BTC
IPL/BTC,1.50 BTC
XAUR/BTC,1.30 BTC
DIG/BTC,1.28 BTC
VMR/BTC,1.14 BTC
TIME/BTC,1.06 BTC
ZRX/BTC,1.04 BTC
EMC/BTC,1.03 BTC
HEDG/BTC,1.03 BTC
MKT/BTC,1.02 BTC
PPY/BTC,0.95 BTC
PZM/BTC,0.91 BTC
JNB/BTC,0.78 BTC
CLOAK/BTC,0.64 BTC
NEO/BTC,0.53 BTC
GRS/BTC,0.45 BTC
OD/BTC,0.44 BTC
SHIFT/BTC,0.43 BTC
TRX/BTC,0.43 BTC
CURE/BTC,0.43 BTC
PLBT/BTC,0.37 BTC
NMC/BTC,0.37 BTC
SYS/BTC,0.35 BTC
STRAT/BTC,0.34 BTC
PTI/BTC,0.31 BTC
MCO/BTC,0.28 BTC
PLA/BTC,0.25 BTC
DMD/BTC,0.24 BTC
YOC/BTC,0.23 BTC
SKCH/BTC,0.20 BTC
DOGE/BTC,0.19 BTC
XSPEC/BTC,0.18 BTC
CPC/BTC,0.18 BTC
XVG/BTC,0.18 BTC
REP/BTC,0.16 BTC
SPT/BTC,0.16 BTC
DOLLAR/BTC,0.16 BTC
XZC/BTC,0.16 BTC
TNS/BTC,0.13 BTC
MCR/BTC,0.13 BTC
XFC/BTC,0.12 BTC
WNL/BTC,0.11 BTC
BLK/BTC,0.11 BTC
VRC/BTC,0.10 BTC
LINK/BTC,0.10 BTC
BTA/BTC,0.10 BTC
NVC/BTC,0.09 BTC
GAME/BTC,0.08 BTC
PELO/BTC,0.08 BTC
TRUMP/BTC,0.07 BTC
UTNP/BTC,0.06 BTC
DGB/BTC,0.05 BTC
LEO/BTC,0.05 BTC
ROBO/BTC,0.05 BTC
HB/BTC,0.05 BTC
BURST/BTC,0.05 BTC
MNE/BTC,0.05 BTC
TUBE/BTC,0.05 BTC
ASAFE2/BTC,0.05 BTC
RLC/BTC,0.04 BTC
CCRB/BTC,0.04 BTC
ORE/BTC,0.04 BTC
KNC/BTC,0.04 BTC
NEXO/BTC,0.04 BTC
PPC/BTC,0.04 BTC
BNB/BTC,0.04 BTC
DCR/BTC,0.04 BTC
QBIT/BTC,0.04 BTC
ANT/BTC,0.04 BTC
RVN/BTC,0.04 BTC
MTL/BTC,0.04 BTC
CBC/BTC,0.04 BTC
